1990;Tie Me Up! Tie Me Down!;Almodóvar, Pedro
1990;Camille Claudel;Nuytten, Bruno
1991;High Heels;Almodóvar, Pedro
1983;Dead Zone, The;Cronenberg, David
1979;Cuba;Lester, Richard
1978;Days of Heaven;Malick, Terrence
1983;Octopussy;Glen, John
1984;Target Eagle;Loma, José Antonio de la
1989;American Angels: Baptism of Blood, The;Sebastian, Beverly
1985;Subway;Besson, Luc
1982;Fanny and Alexander;Bergman, Ingmar
1982;Tragedy of a Ridiculous Man;Bertolucci, Bernardo
1966;A Man & a Woman;Lelouch, Claude
1986;A Man & a Woman: Twenty Years Later;Lelouch, Claude
1966;Un Hombre y una Mujer;Lelouch, Claude
1985;Official Story, The;Puenzo, Luiz
1976;Lindbergh Kidnapping Case, The;Kulik, Buzz
1929;Blackmail;Hitchcock, Alfred
1963;Donovan's Reef;Ford, John
1988;Tucker: The Man & His Dream;Coppola, Francis Ford
1988;Scrooged;Donner, Richard
1981;Raiders of the Lost Ark;Spielberg, Steven
1987;Running Man, The;Glaser, Paul Michael
1991;Predator 2;Hopkins, Stephen
1988;Colors;Hopper, Dennis
1990;Zandalee;Pillsbury, Sam
1988;Miles from Home;Sinise, Gary
1980;Happy Birthday to Me;Thompson, J. Lee
1989;Final Notice;Stern, Steven Hilliard
1979;Quintet;Altman, Robert
1960;Devil's Eye, The;Bergman, Ingmar
1957;Wild Strawberries;Bergman, Ingmar
1956;Seventh Seal, The;Bergman, Ingmar
1955;Dreams;Bergman, Ingmar
1955;Naked Night, The;Bergman, Ingmar
1962;Through a Glass Darkly;Bergman, Ingmar
1972;Cries & Whispers;Bergman, Ingmar
1958;Barbarian & the Geisha, The;Huston, John
1967;Casino Royale;Hughes, Ken
1962;Dr. No;Young, Terence
1979;Ten;Edwards, Blake
1983;Man Who Loved Women, The;Edwards, Blake
1966;Hawaii;Hill, George Roy
1966;Torn Curtain;Hitchcock, Alfred
1986;Duet for One;Konchalovsky, Andrei
1965;Sound of Music, The;Wise, Robert
1984;Tartuffe;Depardieu, Gérard
1988;A New Life;Alda, Alan
1978;Magic;Attenborough, Richard
1992;Tommy;Russell, Ken
1978;Big Fix, The;Kagan, Jeremy Paul
1992;Alan & Naomi;Vanwagenen, Sterling
1987;Fatal Attraction;Lyne, Adrian
1992;Patriot Games;Noyce, Phillip
1981;Woman Next Door, The;Truffaut, François
1992;Hunting;Howson, Frank
1924;Siegfried, The Nibelungenlied;Lang, Fritz
1988;Big Blue, The;Besson, Luc
1991;Flight of the Intruder;Milius, John
1986;Nobody's Fool;Purcell, Evelyn
1985;After Hours;Scorsese, Martin
1985;Desperately Seeking Susan;Seidelman, Susan
1971;A New Leaf;May, Elaine
1959;Killers of Kilimanjaro;Thorpe, Richard
1926;Don Juan;Crosland, Alan
1987;Babette's Feast;Axel, Gabriel
1988;Thunderball;Young, Terrence
1926;Lodger (Story of the London Fog);Hitchcock, Alfred
1988;Appointment with Death;Donaggio, Michael Winner
1974;Murder on the Orient Express;Lumet, Sidney
1955;Blood Alley;Wellman, William
1977;Spy Who Loved Me, The;Gilbert, Lewis
1988;Storm;Winning, David
1989;Miami Cops;Bradley, Al
1996;Island of Dr. Moreau, The;Frankenheimer, John
1992;Eighty-Four Charing Cross Road;Jones, David
1980;Elephant Man, The;Lynch, David
1988;Dr Alien;DeCoteau, David
1982;Creepshow;Romero, George A.
1987;Sammy & Rosie Get Laid;Frears, Stephen
1971;Goalie's Anxiety at the Penalty Kick, The;Wenders, Wim
1957;Mademoiselle Striptease;Allegret, Marc
1969;Women, The;Aurel, Jean
1958;That Naughty Girl;Boisrond, Michel
1959;Voulez-Vous Danser Avec Moi?;Boisrond, Michel
1967;A Coeur Joie, (Head Over Heels);Bourguignon, Serge
1968;Shalako;Dmytryk, Edward
1964;Contempt;Godard, Jean-Luc
1965;Dear Brigitte;Koster, Henry
1962;A Very Private Affair;Malle, Louis
1964;Ravishing Idiot, The;Molinaro, Edouard
1958;Bride Is Much Too Beautiful, The;Surin, Fred
1955;Doctor at Sea;Thomas, Ralph
1962;Le Repos Du Guerrier, (Warrior's Rest);Vadim, Roger
1957;And God Created Woman;Vadim, Roger
1973;Ms. Don Juan;Vadim, Roger
1987;Siesta;Lambert, Mary
1932;Rich & Strange;Hitchcock, Alfred
1987;Lionheart;Schaffner, Franklin J.
1982;E. T. The Extra-Terrestrial;Spielberg, Steven
1992;Cool World;Bakshi, Ralph
1988;Nadine;Benton, Robert
1989;Batman;Burton, Tim
1987;Blind Date;Edwards, Blake
1982;Mother Lode;Heston, Charlton
1992;Final Analysis;Joanou, Phil
1983;Never Say Never Again;Kershner, Irvin
1986;Nine & a Half Weeks;Lyne, Adrian
1989;Killjoy;Moxey, John Llewellyn
1986;No Mercy;Pearce, Richard
1991;Marrying Man, The;Rees, Jerry
1990;Misery;Reiner, Rob
1946;Crisis;Bergman, Ingmar
1984;Samson & Delilah;Philips, Lee
1988;Split Decisions;Drury, David
1988;Nightmare at Noon;Mastorakis, Nico
1990;Presumed Innocent;Pakula, Alan J.
1942;Reap the Wild Wind;DeMille, Cecil B.
1972;Pocket Money;Rosenberg, Stuart
1977;Mary White;Taylor, Jud
1990;Guilty by Suspicion;Winkler, Irwin
1948;Secret Beyond the Door;Lang, Fritz
1945;Scarlet Street;Lang, Fritz
1988;Daffy Duck's Quackbusters;Ford, Greg
1982;Gandhi;Attenborough, Richard
1975;Wind & the Lion, The;Milius, John
1971;Carnal Knowledge;Nichols, Mike
1970;Getting Straight;Rush, Richard
1972;Scarlet Letter, The;Wenders, Wim
1935;Count of Old Town, The;Adolphson, Edvin
1978;Autumn Sonata;Bergman, Ingmar
1944;Gaslight;Cukor, George
1958;Indiscreet;Donen, Stanley
1941;Walpurgis Night;Edgren, Gustaf
1948;Joan of Arc;Fleming, Victor
1982;A Woman Called Golda;Gibson, Alan
1969;A Walk in the Spring Rain;Green, Guy
1949;Under Capricorn;Hitchcock, Alfred
1946;Notorious;Hitchcock, Alfred
1940;June Night;Lindberg, Per
1961;Goodbye Again;Litvak, Anatole
1956;Anastasia;Litvak, Anatole
1945;Bells of St. Mary's, The;McCarey, Leo
1937;Intermezzo;Molander, Gustaf
1938;A Woman's Face;Molander, Gustaf
1935;Swedenhielms;Molander, Gustaf
1939;Only One Night;Molander, Gustav
1938;Dollar;Molander, Gustav
1956;Elena & Her Men;Renoir, Jean
1952;Europa Fifty-One;Rossellini, Roberto
1953;Voyage in Italy;Rossellini, Roberto
1954;Fear;Rossellini, Roberto
1950;Stromboli;Rossellini, Roberto
1969;Cactus Flower;Saks, Gene
1987;Programmed to Kill;Holzman, Allan
1982;Conan the Barbarian;Milius, John
1991;Raw Nerve;Prior, David A.
1970;Think Dirty;Clark, Jim
1982;King of Comedy;Scorsese, Martin
1984;Amadeus;Forman, Milos
1973;White Lightning;Sargent, Joseph
1988;Unbearable Lightness of Being, The;Kaufman, Philip
1972;Life & Times of Judge Roy Bean, The;Huston, John
1970;Airport;Seaton, George
1973;Day for Night;Truffaut, François
1952;Secrets of Women;Bergman, Ingmar
1976;Burnt Offerings;Curtis, Dan
1969;Easy Rider;Hopper, Dennis
1991;Five Easy Pieces;Rafelson, Bob
1974;Day of the Locust, The;Schlesinger, John
1964;Goldfinger;Hamilton, Guy
1977;Exorcist II, The Heretic;Boorman, John
1953;White Lightning;Bernds, Edward
1942;Lady for a Night;Leigh, Jason
1968;Charly;Nelson, Ralph
1973;High Plains Drifter;Eastwood, Clint
1982;Honkytonk Man;Eastwood, Clint
1990;Nightbreed;Barker, Clive
1987;Under the Sun of Satan;Pialat, Maurice
1985;Vagabond;Varda, Agnes
1974;Monty Python & the Holy Grail;Gilliam, Terry
1958;Matchmaker, The;Anthony, Joseph
1981;For Your Eyes Only;Glen, John
1928;Wings;Wellman, William
1992;Medicine Man;McTiernan, John
1989;Good Fellas;Scorsese, Martin
1985;Kiss of the Spider Woman;Babenco, Hector
1990;Rookie, THe;Eastwood, Clint
1973;Sting, The;Hill, George Roy
1958;Torpedo Run;Pevney, Joseph
1986;Instant Justice;Rumar, Craig
1990;Cyrano de Bergerac;Rappeneau, Jean-Paul
1948;Border Street;Ford, Aleksander
1987;Firehouse;Ingvordsen, J. Christian
1965;Morituri;Wicki, Bernhard
1980;From the Life of the Marionettes;Bergman, Ingmar
1988;Frantic;Polanski, Roman
1978;Coma;Crichton, Michael
1988;Dead Ringers;Cronenberg, David
1988;Golden Ninja Invasion;Lambert, Bruce
1973;Exorcist, The;Friedkin, William
1982;Eyes of the Amaryllis, The;King Keller, Frederick
1952;What Price Glory?;Ford, John
1954;Inauguration of the Pleasure Dome;Anger, Kenneth
1989;School Daze;Lee, Spike
1990;End of Innocence, The;Cannon, Dyan
1971;Anderson Tapes, The;Lumet, Sidney
1983;Father Murphy, A Horse from Heaven;Claxton, William F.
1989;Skull;Bergman, Robert
1987;Quick & The Dead, The;Day, Robert
1984;Best Defense;Huyck, Willard
1984;Dreamscape;Ruben, Joseph
1989;Black Rain;Scott, Ridley
1963;8 1/2;Fellini, Federico
1935;One Frightened Night;Cabanne, Christy
1988;Year My Voice Broke, The;Duigan, John
1966;Is Paris Burning?;Clément, René
1974;QB VII;Gries, Tom
1977;Island of Dr. Moreau, The;Taylor, Don
1983;Beyond the Limit;Mackenzie, John
1936;Secret Agent;Hitchcock, Alfred
1972;Big Bust Out, The;Theumer, Ernst R. von
1987;Fourth Protocol, The;Mackenzie, John
1990;Gremlins 2: The New Batch;Dante, Joe
1982;Fast Times at Ridgemont High;Heckerling, Amy
1987;Mannequin;Gottlieb, Michael
1977;Rabid;Cronenberg, David
1990;Party, The;Edwards, Blake
1989;Vampire Raiders, Ninja Queen;Lambert, Bruce
1943;Destroyer;Seiter, William A.
1992;Party Girl;Ray, Nicholas
1989;Twin Peaks;Lynch, David
1987;Moonstruck;Jewison, Norman
1987;Witches of Eastwick, The;Miller, George
1979;Moonraker;Gilbert, Lewis
1984;Beat Street;Lathan, Stan
1989;Never on Tuesday;Rifkin, Adam
1975;Shampoo;Ashby, Hal
1985;Power;Lumet, Sidney
1965;Darling;Schlesinger, John
1963;Ugly American, The;Englund, George
1931;Ambassador Bill;Taylor, Sam
1931;Big Trail, The;Walsh, Raoul
1967;Hombre;Ritt, Martin
1968;Coogan's Bluff;Siegel, Don
1989;Penn & Teller Get Killed;Penn, Arthur
1987;Shy People;Konchalovsky, Andrei
1980;It's My Turn;Weill, Claudia
1988;Dangerous Liaisons;Frears, Stephen
1990;Reversal of Fortune;Schroeder, Barbet
1991;Meeting Venus;Szabó, István
1987;Like Father Like Son;Daniel, Rod
1948;Rope;Hitchcock, Alfred
1962;Road to Hong Kong;Panama, Norman
1989;Shirley Valentine;Gilbert, Lewis
1992;City of Joy;Joffe, Roland
1966;Appaloosa, The;Furie, Sidney J.
1986;Seven Minutes in Heaven;Feferman, Linda
1991;Hearts of Darkness, A Filmmaker's Apocalypse;Bahr, Fax
1961;Tonight for Sure;Coppola, Francis Ford
1990;White Hunter, Black Heart;Eastwood, Clint
1962;Sundays & Cybele;Bourguignon, Serge
1989;Puppet Master;Schmoeller, David
1991;Night Gallery;Spielberg, Steven
1989;Pet Sematary;Lambert, Mary
1992;America's Music, Gospel;Walton, Kip
1977;Slap Shot;Hill, George Roy
1987;O. C. & Stiggs;Altman, Robert
1988;A Fish Called Wanda;Crichton, Charles
1954;A Lesson in Love;Bergman, Ingmar
1957;Brink of Life;Bergman, Ingmar
1986;Betty Blue;Beineix, Jean-Jacques
1979;Hair;Forman, Milos
1989;National Lampoon's Christmas Vacation;S, Jeremiah
1974;Dersu Uzala, (The Hunter);Kurosawa, Akira
1990;Alice;Allen, Woody
1980;Fifth Floor, The;Avedis, Howard Hikmet
1990;Snow Kill;Wright, Thomas J.
1971;People, The;Coppola, Francis Ford
1969;True Grit;Hathaway, Henry
1942;Battle of Midway, The;Ford, John
1948;Three Godfathers;Ford, John
1965;Hush, Hush, Sweet Charlotte;Aldrich, Robert
1946;A Stolen Life;Bernhardt, Curtis
1939;Old Maid, The;Goulding, Edmund
1950;All about Eve;Mankiewicz, Joseph L.
1986;Fly, The;Cronenberg, David
1990;Quick Change;Franklin, Howard 
1988;Lair of the White Worm, The;Russell, Ken
1989;Rainbow, The;Russell, Ken
1956;Man Who Knew Too Much, The;Hitchcock, Alfred
1992;Beauty & the Beast;Cocteau, Jean
1940;Foreign Correspondent;Hitchcock, Alfred
1949;Heiress, The;Wyler, William
1986;Boy Who Could Fly, The;Castle, Nick
1975;Terrorists, The;Wrede, Caspar
1942;Wheel of Fortune;Auer, John H.
1989;Do the Right Thing;Lee, Spike
1990;Court-Martial of Jackie Robinson, The;Peerce, Larry
1967;Elvira Madigan;Widerberg, Bo
1992;Hurricane Smith;Budds, Colin
1983;Risky Business;Brickman, Paul
1980;I Love All of You (Je Vous Aime);Berri, Claude
1986;Love Songs;Chouraqui, Elie
1983;Le Choix des Armes;Comeau, Alain
1981;Choice of Arms;Corneau, Alan
1977;March or Die;Richards, Dick
1980;Last Metro, The;Truffaut, François
1986;Jean de Florette;Berri, Claude
1989;Fat Man & Little Boy;Joffe, Roland
1990;Wild at Heart;Lynch, David
1989;Family Business;Lumet, Sidney
1988;Stand & Deliver;Menendez, Ramon
1981;Looker;Crichton, Michael
1989;Fire & Rain;Jameson, Jerry
1940;Seven Sinners;Garnett, Tay
1961;Judgment at Nuremberg;Kramer, Stanley
1987;Wings of Desire;Wenders, Wim
1991;Until the End of the World;Wenders, Wim
1987;Castaway;Roeg, Nicolas
1991;Delicatessen;Caro, Marc
1979;Great Train Robbery, The;Crichton, Michael
1991;Hanover Street;Hyams, Peter
1991;Hunchback;Tuchner, Michael
1946;My Darling Clementine;Ford, John
1950;Wagon Master;Ford, John
1949;She Wore a Yellow Ribbon;Ford, John
1985;Fantasy Man;Meagher, John
1986;Monster in the Closet;Dahlin, Bob
1992;Double Edge;Kollek, Amos
1976;Network;Lumet, Sidney
1974;Chinatown;Polanski, Roman
1975;Three Days of the Condor;Pollack, Sydney
1977;Voyage of the Damned;Rosenberg, Stuart
1987;Barfly;Schroeder, Barbet
1947;Life with Father;Curtiz, Michael
1943;A Guy Named Joe;Fleming, Victor
1974;Stavisky;Resnais, Alain
1981;Time Bandits;Gilliam, Terry
1980;Shining, The;Kubrick, Stanley
1945;Flame of Barbary Coast;Kane, Joseph
1979;Brood, The;Cronenberg, David
1970;Molly Maguires, The;Ritt, Martin
1984;Beverly Hills Cop;Brest, Martin
1991;Blind Man's Bluff;Quinn, James
1961;La Dolce Vita;Fellini, Federico
1966;After the Fox;De Sica, Vittorio
1974;Man with the Golden Gun, The;Hamilton, Guy
1985;Marbella;Hermoso, Miguel
1967;Bobo, The;Parrish, Robert
1992;Killer Image.;Winning, David
